,职位,公司,工作地点,薪资,发布时间,工作经验,学历,职位详细要求
160,Java开发实习生   五险一金,黑龙江中软国际信息技术有限公司,哈尔滨,4.5-6千/月,04-20,  无工作经验  ,  大专  ,"职位信息


一、岗位职责：1. 对软件行业感兴趣,想要从事计算机方向工作的；2. 想获得一份有长远发展、有晋升空间的工作；3. 富有创造力，有责任心，沟通理解能力强，敢于创新，有较强的学习能力和执行能力。二、岗位要求：1、大专及以上学历，年龄在18-25周岁；2、具有良好的职业道德，踏实稳重，工作细心，责任心强，良好的沟通、协调能力，有团队协作精神；4、应往届大专及以上学历，有较强的学习能力、语言沟通能力；专业不限，对it软件行业发展看好。三、工作时间：9:00-17:00 午休两个小时四、待遇：入职签订劳动合同、五险一金、三奖三补（三奖：年终奖、满勤奖、本岗位绩效奖；三补：通讯补助，通勤补助、伙食补助。）五、假期：国家法定节假日、周六日双休、带薪年假等。待遇优厚、五险一金、双休、法定假日。


职能类别：

										软件工程师									



微信分享







联系方式



上班地址：南岗区文景街100号							
地图





公司信息


						中软国际信息技术有限公司（以下简称：中软国际）是中国领先的大型综合性软件与信息服务企业，成立于2000年，为香港主板上市公司，股票代码354。 面对当今互联网化，以及云计算、大数据的挑战，中软国际建立了线下与线上互动的业务结构（o2o）。 线下业务主要是为大客户、大行业提供技术和专业服务，目标是成为立足中国、服务全球、行业领先的全链条信息技术服务供应商。公司与华为、微软、阿里云、中移动等行业巨人有着全面深入的战略合作，深耕金融、电信、互联网、交通、能源等重点行业，持续开拓全球市场，为客户提供全链条、高质量、高效率、具有综合优势和行业特色的技术服务。 在地域上，中软国际业务覆盖中国大陆主要城市和香港特别行政区，以及美国、日本、英国和爱尔兰等国家；在能力上，中软国际以云产品、云服务、物联网以及大数据能力，服务于上百家跨国企业、银行、金融、国有大型企业客户； 中软国际已建立了完备的、覆盖面广的线下it服务体系。 线上业务以“解放号”（jointforce）为核心，并针对政府、制造等典型的长尾市场以互联网组织方式构建核心竞争力。它既是一个通过可信人脉组织、由***管理实践背书的it服务众包平台，也是一个海量解决方案研发、实施和集成的工作平台。通过建立it服务生态圈，帮助it服务企业有效利用社会资源组织项目提交，为客户提供“快，省好多”的可信it服务。与it在线培训服务平台“宅客学院”一起，“解放号”不仅可以推动产业效率提升，与线下业务形成良性互动，也是中软卓越实现高速增长，应对it产业转型的利器。 中软国际秉承“奋斗为本，成就客户，创造分享，共同成长”的核心价值观，成为客户长期、稳定、可信赖的合作伙伴，为成为世界级it 服务企业而奋斗！"
161,java技术开发实习生（双休 提供住宿 朝九晚六）,黑龙江中软国际信息技术有限公司,哈尔滨,4.5-6千/月,04-20,  无工作经验  ,  大专  ,"职位信息


一、 岗位描述：1、该职位为技术人员职位，在上级的领导和监督下定期完成量化的工作要求；2、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；3、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量；4、进行编制项目文档和质量记录的工作；5、维护软件使之保持可用性和稳定性；二、任职资格：1、2019年理工科专业毕业，专科及以上学历；2、了解数据库编程，以及数据库应用（sql server等）；3、做事严谨踏实，责任心强，条理清楚，善于学习总结，有良好的团队合作精神和沟通协调能力；三、薪酬福利：公司按照市场化原则，提供业内富有竞争力的薪酬，吸纳和保有优秀人才；1、市场化：在行业内保持富有竞争力的薪酬水平，与公司在各地的市场地位相一致；2、因岗而异：薪酬体现不同岗位在决策责任、影响范围、资格要求等方面的特性；3、成果分享：公司获得的每一个进步都和广大职员的努力密切相关，公司发展的同时要让员工分享成功的果实；4、均衡内外部报酬：关注薪酬等外部报酬的同时，亦不忽略对工作的胜任感、成就感、责任感和个人成长等内部报酬；四、岗位发展方向：技术开发岗―偏技术开发岗位―技术开发销售岗位―管理岗位；五、工作时间周一至周五，早上9：00-下午18:00，周末双休；针对连续工作满1年的员工提供带薪5天年假；备注：请勿重复投递！


职能类别：

										软件工程师									

										计算机辅助设计工程师									



微信分享







联系方式



上班地址：南岗区文景街100号							
地图





公司信息


						中软国际信息技术有限公司（以下简称：中软国际）是中国领先的大型综合性软件与信息服务企业，成立于2000年，为香港主板上市公司，股票代码354。 面对当今互联网化，以及云计算、大数据的挑战，中软国际建立了线下与线上互动的业务结构（o2o）。 线下业务主要是为大客户、大行业提供技术和专业服务，目标是成为立足中国、服务全球、行业领先的全链条信息技术服务供应商。公司与华为、微软、阿里云、中移动等行业巨人有着全面深入的战略合作，深耕金融、电信、互联网、交通、能源等重点行业，持续开拓全球市场，为客户提供全链条、高质量、高效率、具有综合优势和行业特色的技术服务。 在地域上，中软国际业务覆盖中国大陆主要城市和香港特别行政区，以及美国、日本、英国和爱尔兰等国家；在能力上，中软国际以云产品、云服务、物联网以及大数据能力，服务于上百家跨国企业、银行、金融、国有大型企业客户； 中软国际已建立了完备的、覆盖面广的线下it服务体系。 线上业务以“解放号”（jointforce）为核心，并针对政府、制造等典型的长尾市场以互联网组织方式构建核心竞争力。它既是一个通过可信人脉组织、由***管理实践背书的it服务众包平台，也是一个海量解决方案研发、实施和集成的工作平台。通过建立it服务生态圈，帮助it服务企业有效利用社会资源组织项目提交，为客户提供“快，省好多”的可信it服务。与it在线培训服务平台“宅客学院”一起，“解放号”不仅可以推动产业效率提升，与线下业务形成良性互动，也是中软卓越实现高速增长，应对it产业转型的利器。 中软国际秉承“奋斗为本，成就客户，创造分享，共同成长”的核心价值观，成为客户长期、稳定、可信赖的合作伙伴，为成为世界级it 服务企业而奋斗！"
162,java定向委培实习生（双休 朝九晚六 提供住宿）,黑龙江中软国际信息技术有限公司,哈尔滨,3-4.5千/月,04-20,  无工作经验  ,  大专  ,"职位信息


一、岗位描述：1、该岗位为储备岗位，主要为公司及合作企业输送专业技术人员；2、该岗位在编期间，会有3-4个月集中性培训，培训过程中不间断项目考核；3、该岗位在培训第一阶段需要完整掌握：html/javascript/mssql/javase/javaoop，第二阶段需要掌握：javaee、jsp、mysql、oracle、struts、spring、hibernate，第三阶段需要掌握开发综合项目；二、任职资格：1、大专及以上学历，专业不限，计算机、信息技术、电子等相关专业优先，成绩优秀2017届毕业生优先；2、热爱互联网，对互联网开发和技术有浓厚的兴趣，热衷于追求技术极致与创新；3、优秀的分析问题和解决问题的能力，勇于解决难题；4、强烈的上进心和求知欲，较强的学习能力和沟通能力，具备良好的团队合作精神；三、面试流程：投递简历后，人力资源部门将对简历进行刷选，符合要求的应聘者参与企业面试，可携带个人简历至公司前台扫描二维码参与答题，题目多为技术与逻辑思维类，题后可参与面试；四、薪酬待遇：1、实训期间每月享受800补助；2、实训结束合格后，一线城市就职综合薪酬不低于5000元，二线城市就职薪酬不低于3500元；3、社会保险：根据国家规定，公司为正式员工提供的社会统筹类福利包括：基本养老保险、医疗保险、生育保险、失业保险及工伤保险，另公司会额外为员工购买其他商业保险，惠及子女；4、公积金：公司为正式员工缴纳住房公积金，缴费基数及缴费比例遵照当地社保机构规定；1、周一至周五，早上9：00-下午18:00，周末双休，国家法定节假日正常休假；五、其他：1、公司珍视人才的价值，重视人才的培养和成长，故该岗位为培训类岗位；2、公司目前在武汉地区有需求，培训周期为3-4个月，如果不能协调时间参与我公司该岗位者，请勿投递；3、请勿重复投递！


职能类别：

										软件工程师									



微信分享







联系方式



上班地址：南岗区文景街100号							
地图





公司信息


						中软国际信息技术有限公司（以下简称：中软国际）是中国领先的大型综合性软件与信息服务企业，成立于2000年，为香港主板上市公司，股票代码354。 面对当今互联网化，以及云计算、大数据的挑战，中软国际建立了线下与线上互动的业务结构（o2o）。 线下业务主要是为大客户、大行业提供技术和专业服务，目标是成为立足中国、服务全球、行业领先的全链条信息技术服务供应商。公司与华为、微软、阿里云、中移动等行业巨人有着全面深入的战略合作，深耕金融、电信、互联网、交通、能源等重点行业，持续开拓全球市场，为客户提供全链条、高质量、高效率、具有综合优势和行业特色的技术服务。 在地域上，中软国际业务覆盖中国大陆主要城市和香港特别行政区，以及美国、日本、英国和爱尔兰等国家；在能力上，中软国际以云产品、云服务、物联网以及大数据能力，服务于上百家跨国企业、银行、金融、国有大型企业客户； 中软国际已建立了完备的、覆盖面广的线下it服务体系。 线上业务以“解放号”（jointforce）为核心，并针对政府、制造等典型的长尾市场以互联网组织方式构建核心竞争力。它既是一个通过可信人脉组织、由***管理实践背书的it服务众包平台，也是一个海量解决方案研发、实施和集成的工作平台。通过建立it服务生态圈，帮助it服务企业有效利用社会资源组织项目提交，为客户提供“快，省好多”的可信it服务。与it在线培训服务平台“宅客学院”一起，“解放号”不仅可以推动产业效率提升，与线下业务形成良性互动，也是中软卓越实现高速增长，应对it产业转型的利器。 中软国际秉承“奋斗为本，成就客户，创造分享，共同成长”的核心价值观，成为客户长期、稳定、可信赖的合作伙伴，为成为世界级it 服务企业而奋斗！"
163,java技术开发实习生（双休 提供住宿 朝九晚六）,黑龙江中软国际信息技术有限公司,哈尔滨-南岗区,4.5-6千/月,04-20,  无工作经验  ,  大专  ,"职位信息


一、 岗位描述：1、该职位为技术人员职位，在上级的领导和监督下定期完成量化的工作要求；2、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；3、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量；4、进行编制项目文档和质量记录的工作；5、维护软件使之保持可用性和稳定性；二、任职资格：1、2019年理工科专业毕业，专科及以上学历；2、了解数据库编程，以及数据库应用（sql server等）；3、做事严谨踏实，责任心强，条理清楚，善于学习总结，有良好的团队合作精神和沟通协调能力；三、薪酬福利：公司按照市场化原则，提供业内富有竞争力的薪酬，吸纳和保有优秀人才；1、市场化：在行业内保持富有竞争力的薪酬水平，与公司在各地的市场地位相一致；2、因岗而异：薪酬体现不同岗位在决策责任、影响范围、资格要求等方面的特性；3、成果分享：公司获得的每一个进步都和广大职员的努力密切相关，公司发展的同时要让员工分享成功的果实；4、均衡内外部报酬：关注薪酬等外部报酬的同时，亦不忽略对工作的胜任感、成就感、责任感和个人成长等内部报酬；四、岗位发展方向：技术开发岗―偏技术开发岗位―技术开发销售岗位―管理岗位；


职能类别：

										软件工程师									



微信分享







联系方式



上班地址：文景街100号							
地图





公司信息


						中软国际有限公司是行业领先的全球化软件与信息技术服务企业之一，成立于2000年，为香港主板上市公司（股票代码354），在中国北京、西安、南京、深圳、上海、香港等28个城市及美国、日本、印度、马来西亚、新加坡等国的18个城市拥有分支机构，全球员工超过6万人。中软国际应用开发与管理专业沉淀深厚，企业数字化转型的***实践和专家人才充沛。公司与华为等战略伙伴一起，构建互联网信息技术服务平台，领先技术变革，提升产业效率，致力于使能软件企业引领发展，服务制造企业转型升级，为政企客户提供“多快好省”的信息技术服务。公司倡导“率真存厚、立志有恒；奋斗为本、成就客户；创造分享、共同成长”的经营理念，是您值得信赖的专家伙伴。中软国际在服务财富500强企业及大中型客户的近二十年里，在电信、政府、制造、金融、公共服务、能源等行业均取得了不斐的成绩。2017年，公司市值产值双双突破百亿，已是国内最大的软件与信息技术服务企业之一。第一个是人才派遣和技术外包集团，主要为华为，百度，腾讯等企业服务。第二个是专业服务，针对的是政府，金融，物流，制造流通行业，烟草行业做定制化的it解决方案，给这些企业开发系统等方面。第三个中软国际卓越培训中心（etc），是中软国际人才战略的核心组成部分之一，承担着集团发展过程中人才储备和培养的任务，是软件及外包业务快速发展的重要人才支撑平台，是集团保持高速增长的动力之一。随着中软国际在业务上的迅猛发展，对人才的需求量也逐年增加，中软国际卓越培训中心投重金研发了专门针对大学生的准员工“5r（5real）”实训课程体系（5r即：真实的工作环境、真实的项目经理、真实的项目案例、真实的工作压力、真实的工作机会），于2006年在北京昌平中软软件园建成了第一家“中软国际软件人才实训基地”，也就是现在的北京etc。为响应国家政策，以更快、更好、更大规模地培养软件人才，2008年，由中软国际投资成立了中软国际教育科技集团(etc总部)，并先后在除北京外的大连、无锡、重庆、厦门、天津、广州等15个地区投资建设了大型信息技术实训基地及区域人才服务中心。各基地成功复制北京etc的业务模式，并紧密结合地方及产业需求，快速建成团队并启动培训业务，目前全国基地总营业面积超过7万平方米、可同时容纳2万多名学员，累计与逾1000所高校建立了稳定的人才培训和实训合作，其中985/211高校近100所。目前，2017年培训规模超过6万人次。各基地通过与高等院校的合作，为广大学生提供实习与实训机会，从而大大提高大学毕业生的就业能力，并成为中国顶尖的it实习实训机构之一。"
164,java软件开发/IT技术开发储备员（双休  提供住宿）,黑龙江中软国际信息技术有限公司,哈尔滨-南岗区,3-4.5千/月,04-20,  无工作经验  ,  大专  ,"职位信息


一、岗位描述：1、为新项目顺利开展，我公司需培养一批从基层做起的管理类、技术类人才；2、参加公司业务培训及管理技能培训，快速提升自身能力；3、辅助软件工程师完成项目的代码编程、调试、测试与维护；二、任职资格：1、大专及以上学历学生（学历性质不限及专业不限）；2、热爱计算机软件开发行业，善于学习和总结分析；3、具备较强的学习能力和优秀的沟通能力；4、具有良好职业道德，工作认真细致、责任心强；三、薪酬福利：公司按照市场化原则，提供业内富有竞争力的薪酬，吸纳和保有优秀人才；1、五险一金及商业保险，双休、法定节假日正常休息；2、高效的工作环境和氛围，完善的员工内部制度；3、公司工作环境优雅、氛围好，同事关系融洽，生日派对、聚餐等活动丰富；4、人性化管理，享受国家规定的带薪年假、各种节假日；四、工作时间周一至周五，早上9：00-下午18:00，周末双休；针对连续工作满1年的员工提供带薪5天年假；


职能类别：

										软件工程师									



微信分享







联系方式



上班地址：文景街100号							
地图





公司信息


						中软国际有限公司是行业领先的全球化软件与信息技术服务企业之一，成立于2000年，为香港主板上市公司（股票代码354），在中国北京、西安、南京、深圳、上海、香港等28个城市及美国、日本、印度、马来西亚、新加坡等国的18个城市拥有分支机构，全球员工超过6万人。中软国际应用开发与管理专业沉淀深厚，企业数字化转型的***实践和专家人才充沛。公司与华为等战略伙伴一起，构建互联网信息技术服务平台，领先技术变革，提升产业效率，致力于使能软件企业引领发展，服务制造企业转型升级，为政企客户提供“多快好省”的信息技术服务。公司倡导“率真存厚、立志有恒；奋斗为本、成就客户；创造分享、共同成长”的经营理念，是您值得信赖的专家伙伴。中软国际在服务财富500强企业及大中型客户的近二十年里，在电信、政府、制造、金融、公共服务、能源等行业均取得了不斐的成绩。2017年，公司市值产值双双突破百亿，已是国内最大的软件与信息技术服务企业之一。第一个是人才派遣和技术外包集团，主要为华为，百度，腾讯等企业服务。第二个是专业服务，针对的是政府，金融，物流，制造流通行业，烟草行业做定制化的it解决方案，给这些企业开发系统等方面。第三个中软国际卓越培训中心（etc），是中软国际人才战略的核心组成部分之一，承担着集团发展过程中人才储备和培养的任务，是软件及外包业务快速发展的重要人才支撑平台，是集团保持高速增长的动力之一。随着中软国际在业务上的迅猛发展，对人才的需求量也逐年增加，中软国际卓越培训中心投重金研发了专门针对大学生的准员工“5r（5real）”实训课程体系（5r即：真实的工作环境、真实的项目经理、真实的项目案例、真实的工作压力、真实的工作机会），于2006年在北京昌平中软软件园建成了第一家“中软国际软件人才实训基地”，也就是现在的北京etc。为响应国家政策，以更快、更好、更大规模地培养软件人才，2008年，由中软国际投资成立了中软国际教育科技集团(etc总部)，并先后在除北京外的大连、无锡、重庆、厦门、天津、广州等15个地区投资建设了大型信息技术实训基地及区域人才服务中心。各基地成功复制北京etc的业务模式，并紧密结合地方及产业需求，快速建成团队并启动培训业务，目前全国基地总营业面积超过7万平方米、可同时容纳2万多名学员，累计与逾1000所高校建立了稳定的人才培训和实训合作，其中985/211高校近100所。目前，2017年培训规模超过6万人次。各基地通过与高等院校的合作，为广大学生提供实习与实训机会，从而大大提高大学毕业生的就业能力，并成为中国顶尖的it实习实训机构之一。"
165,Java开发工程师  可实习+双休,黑龙江中软国际信息技术有限公司,哈尔滨-南岗区,3-5千/月,04-20,  无工作经验  ,  大专  ,"职位信息


一、岗位描述：1、参与软件工程系统的设计、开发、测试等过程，并协助工程师或项目经理完成软件研发等相关工作；2、根据公司技术文档要求编写相应技术文档；3、协调各个程序员的工作，并能与其它软件工程师协作工作；二、任职资格：1、全日制统招2017届大专及以上应届生，自动化、计算机、通信工程、电子信息、机电等相关专业；2、良好的专业理论基础知识并了解软硬件开发的流程；3、良好的学习能力，科技一直在发展，只有不断的学习才能保证能跟上时代的脚步；三、福利待遇：1、五险一金，商业意外险，享受双休等福利，集体活动或旅游等；2、全体员工除享受以上福利待遇外还将享受带薪年假、病假、婚假、丧假、产假等国家法定节假日；3、有良好的晋升渠道：实习生--初级软件工程师--中级软件工程师--高级软件工程师--项目主管--项目经理；四、工作时间周一至周五，早上9：00-下午18:00，周末双休；五、公司简介：公司为大型综合性软件信息服务企业，在职员工超过3万人；其中在技术服务领域主要客户有华为、微软、中国移动、腾讯、百度、阿里巴巴等，公司招聘要求会遵守合作客户用人标准，请参加面试者按照规定时间参加面试，如不能到场，请慎重投递。请勿重复投递。


职能类别：

										软件工程师									



微信分享







联系方式



上班地址：文景街100号							
地图





公司信息


						中软国际有限公司是行业领先的全球化软件与信息技术服务企业之一，成立于2000年，为香港主板上市公司（股票代码354），在中国北京、西安、南京、深圳、上海、香港等28个城市及美国、日本、印度、马来西亚、新加坡等国的18个城市拥有分支机构，全球员工超过6万人。中软国际应用开发与管理专业沉淀深厚，企业数字化转型的***实践和专家人才充沛。公司与华为等战略伙伴一起，构建互联网信息技术服务平台，领先技术变革，提升产业效率，致力于使能软件企业引领发展，服务制造企业转型升级，为政企客户提供“多快好省”的信息技术服务。公司倡导“率真存厚、立志有恒；奋斗为本、成就客户；创造分享、共同成长”的经营理念，是您值得信赖的专家伙伴。中软国际在服务财富500强企业及大中型客户的近二十年里，在电信、政府、制造、金融、公共服务、能源等行业均取得了不斐的成绩。2017年，公司市值产值双双突破百亿，已是国内最大的软件与信息技术服务企业之一。第一个是人才派遣和技术外包集团，主要为华为，百度，腾讯等企业服务。第二个是专业服务，针对的是政府，金融，物流，制造流通行业，烟草行业做定制化的it解决方案，给这些企业开发系统等方面。第三个中软国际卓越培训中心（etc），是中软国际人才战略的核心组成部分之一，承担着集团发展过程中人才储备和培养的任务，是软件及外包业务快速发展的重要人才支撑平台，是集团保持高速增长的动力之一。随着中软国际在业务上的迅猛发展，对人才的需求量也逐年增加，中软国际卓越培训中心投重金研发了专门针对大学生的准员工“5r（5real）”实训课程体系（5r即：真实的工作环境、真实的项目经理、真实的项目案例、真实的工作压力、真实的工作机会），于2006年在北京昌平中软软件园建成了第一家“中软国际软件人才实训基地”，也就是现在的北京etc。为响应国家政策，以更快、更好、更大规模地培养软件人才，2008年，由中软国际投资成立了中软国际教育科技集团(etc总部)，并先后在除北京外的大连、无锡、重庆、厦门、天津、广州等15个地区投资建设了大型信息技术实训基地及区域人才服务中心。各基地成功复制北京etc的业务模式，并紧密结合地方及产业需求，快速建成团队并启动培训业务，目前全国基地总营业面积超过7万平方米、可同时容纳2万多名学员，累计与逾1000所高校建立了稳定的人才培训和实训合作，其中985/211高校近100所。目前，2017年培训规模超过6万人次。各基地通过与高等院校的合作，为广大学生提供实习与实训机会，从而大大提高大学毕业生的就业能力，并成为中国顶尖的it实习实训机构之一。"
166,Java Web 开发工程师,哈尔滨优智科技有限公司,哈尔滨,4.5-6千/月,04-19,  1年经验  ,  本科  ,"职位信息


1. 统招本科及以上学历，1年以上java编程经验，负责公司自营产品研发。2. 责任心强、思维敏捷、良好编码习惯、良好的逻辑思维能力/沟通能力、分析与定位问题的能力，能适应公司相关安排工作。3. 熟练掌握（ssm）spring，spring mvc，mybatis，spring bootmybatis，dubbo，zoopeeker，kafka等相关技术4. 熟练掌握sql 语句以及no sql数据库（如redis）, 熟练掌握js, 熟练掌握html5相关技术5. 熟练掌握至少一种网络协议并有对应开发经验（http、tcp、udp等）6. 熟练掌握主流数据库mysql、sql server、oracle其中一种7. 有app服务端实际开发经验，熟悉linux，nginx、tomcat性能调优，解决高并发等问题。8. 能够快速了解使用第三方开源库，并可以进行项目需求，进行修改适用9. 熟悉面向对象的程序设计思想和设计模式，熟练理解mvc以及mvvm10. 熟练书写需求文档、软件设计文档、开发文档、软件说明书等常用软件行业文档11. 有成熟项目经验，熟悉编程多种语言者优先


职能类别：

										软件工程师									



微信分享







联系方式



上班地址：道里区丽江路与群力第五大道交叉口汇智金融企业总部b座							
地图





公司信息


						哈尔滨优智科技有限公司（www.youzhiapp.com）成立于2011年，黑龙江省软件协会理事单位，是一家专注于移动互联网相关领域产品研发及服务的创新型企业。公司拥有多年的行业服务经验及从业经验丰富的专业团队，并始终以标准化的管理和高效的服务为客户创造更大的价值。公司主要的业务包括：手机app开发、o2o电商平台开发、android软件开发、iphone/pad软件开发、wp软件开发、html5研发等，更集成了先进的支付宝支付、微信支付等在线支付渠道，技术领先，业务优势明显。公司自成立以后，已经为多家企业和个人提供了优质的开发服务，其中包括：中国联通、黑河电视台、哈尔滨工业大学、无名缘米粉、爱尔兰圣三一教育、澳大利亚sdss auisno friendship infornet pty 公司等。开发出的软件具有反映速度快、界面美观、商用价值高、用户体验优秀等优点，公司提供的服务得到广大客户的好评，深受客户信赖。我们是移动互联网领域的专家，未来，我们愿与您共同搭建成长的桥梁，期待你的加入。公司名称：哈尔滨优智科技有限公司公司地址：哈尔滨市道里区丽江路与群力第五大道交叉口汇智金融企业总部b座应聘电话：0451-84314055公司主页：www.youzhiapp.com"
167,Java开发工程师,黑龙江恒邈科技有限公司,哈尔滨-南岗区,5-6千/月,04-19,  2年经验  ,  大专  ,"职位信息


一. 角色定义1. 掌握软件开发基础知识和技能，能够独立完成模块内函数的编码、测试等工作。有效指导初级软件人员完成软件开发工作。2. 协助解决各种编程难题，参与关键模块的设计，与项目组人员一起完成代码编写工作，配合测试人员完成系统测试及改进工作，配合编写项目各种文档。二. 工作经验1. 从事软件编程相关工作经验，本科2年以上；2. 有较大型企业级系统开发经验；3. 参与过8人以上团队至少完成过3个项目；三. 学历1. 计算机或通信相关专业本科毕业以上；四. 必备知识1. 熟练掌握c++/java/.net等开发语言2. 熟练掌握数据库技术，了解jdbc、odbc等技术，熟练使用db2、sybase、oracle、sql server等主流数据库实现较复杂数据库应用，并能根据数据库特性进行优化，有较丰富的数据库应用系统开发经验。3. 熟练使用windows、linux和unix上的主流编译工具和调试环境。4. 深刻理解面向对象思想，熟练掌握数据结构和常用算法。5. 熟练使用svn等版本管理工具。6. 具备较强的uml实施能力，能够按照uml设计进行工作7. 具备良好的测试方案设计和实施能力，能够熟练使用流行的测试工具；8. 具备较强的沟通交流、团队合作和文档编写能力。9. 逻辑思路清晰，工作认真负责，具备较强的工作主动性，有较强的解决问题能力。


职能类别：

										软件工程师									

										互联网软件开发工程师									


关键字：
java开发
java工程师



微信分享







联系方式



上班地址：哈尔滨市南岗区							
地图





公司信息


						黑龙江恒邈科技有限公司是哈尔滨市一家专业从事软件开发、软件定制、软件实施的高新技术企业。成立于2011年1月28日。拥有一批长期专业从事软件开发、软件定制的专业人才，具有雄厚的技术开发实力。公司非常重视企业的内部管理工作，市场销售、软件研发、技术支持是公司的三大核心部门，现已经建立了一套比较完善的管理体制。公司主营业务：软件外包、软件定制开发、系统维护、网站平台架构、oa办公系统、手机软件定制等等。恒邈软件经过十多年的经验积累，总结出了针对各行业、不同规模和不同阶段的企业信息化解决方案，我们的项目实施团队能够更加准确快捷地找出客户的具体需求，为您的企业度身定做真正切合实际需求的解决方案。我们实施方面多年的实践积累将为您的企业带来最大投资回报。公司的经营宗旨：坚守诚信 ，追求卓越，回报社会。我们会以优质产品和周到的服务夯实与客户合作的基础，建立双赢、多赢的经营格局。"
168,java开发工程师签约实习生,源码启航科技有限公司,哈尔滨-南岗区,3-4.5千/月,04-19,  无工作经验  ,  大专  ,"职位信息


【任职要求】：1、大专及以上学历，计算机（网络)、电子信息、软件工程、（电气）自动化、测控、生仪、机电、数学或英语等专业。2、有计算机语言基础者优先，如：c语言、java、.net、php等；3、具有良好的逻辑思维能力、沟通能力、团队合作能力；4、乐意接受岗前集中学习。【福利待遇】：1、签订正式《劳动合同》享受国家规定的保险福利待遇（五险一金、带薪年假、各项补助等）


职能类别：

										软件工程师									



微信分享







联系方式



上班地址：哈尔滨市南岗区							
地图





公司信息


						公司拥有雄厚的资金基础、人才济济的研发阵容和具有先进创新理念的运营团队。公司倡导团队协作，公平公正，强调员工与企业共成长的企业文化，鼓励创新，致力于为员工营造充分展示自我才智、发挥潜能的舞台。除了为员工提供极具竞争力的薪酬福利待遇外，公司还建立了一整套与员工的职业生涯发展相结合的合理晋升体系，针对不同特点的员工设置不同的晋升通道，专业技能优秀的员工可以按照技术路线晋升，管理才能卓越的员工可以按照职能体系晋升。员工晋升以绩效考核结果为基础，同时又作为薪酬调整的依据。公司内部空缺岗位优先考虑内部竞聘人员，为员工提供广阔的发展空间。"
169,java开发工程师签约实习生,源码启航科技有限公司,哈尔滨-南岗区,3-4.5千/月,04-19,  无工作经验  ,  招4人  ,"职位信息


【任职要求】：1、大专及以上学历，计算机（网络)、电子信息、软件工程、（电气）自动化、测控、生仪、机电、数学或英语等专业。2、有计算机语言基础者优先，如：c语言、java、.net、php等；3、具有良好的逻辑思维能力、沟通能力、团队合作能力；4、乐意接受岗前集中学习。【福利待遇】：1、签订正式《劳动合同》享受国家规定的保险福利待遇（五险一金、带薪年假、各项补助等）


职能类别：

										软件工程师									



微信分享







联系方式



上班地址：哈尔滨市南岗区							
地图





公司信息


						公司拥有雄厚的资金基础、人才济济的研发阵容和具有先进创新理念的运营团队。公司倡导团队协作，公平公正，强调员工与企业共成长的企业文化，鼓励创新，致力于为员工营造充分展示自我才智、发挥潜能的舞台。除了为员工提供极具竞争力的薪酬福利待遇外，公司还建立了一整套与员工的职业生涯发展相结合的合理晋升体系，针对不同特点的员工设置不同的晋升通道，专业技能优秀的员工可以按照技术路线晋升，管理才能卓越的员工可以按照职能体系晋升。员工晋升以绩效考核结果为基础，同时又作为薪酬调整的依据。公司内部空缺岗位优先考虑内部竞聘人员，为员工提供广阔的发展空间。"
170,Java实习生0基础可接受应届生,源码启航科技有限公司,哈尔滨-南岗区,3-4.5千/月,04-19,  无工作经验  ,  招4人  ,"职位信息


1、开发基于java语言相关应用； 2、参与项目规划及具体实施方案的制定； 3、参与系统的分析和设计； 4、根据开发进度和任务分配完成相应模块的设计、开发及bug修正等任务。任职要求：1、大专以上学历，有计算机语言者优先(c语言、c++、c#、java、.net、php等)；2、应往届理工类毕业生优先，计算机、软件工程、电子信息、机械、自动化等相关专业均可；3、具有阅读相关技术需求文档能力；具有一定的软件设计及文档编写能力；


职能类别：

										软件工程师									



微信分享







联系方式



上班地址：哈尔滨市南岗区							
地图





公司信息


						公司拥有雄厚的资金基础、人才济济的研发阵容和具有先进创新理念的运营团队。公司倡导团队协作，公平公正，强调员工与企业共成长的企业文化，鼓励创新，致力于为员工营造充分展示自我才智、发挥潜能的舞台。除了为员工提供极具竞争力的薪酬福利待遇外，公司还建立了一整套与员工的职业生涯发展相结合的合理晋升体系，针对不同特点的员工设置不同的晋升通道，专业技能优秀的员工可以按照技术路线晋升，管理才能卓越的员工可以按照职能体系晋升。员工晋升以绩效考核结果为基础，同时又作为薪酬调整的依据。公司内部空缺岗位优先考虑内部竞聘人员，为员工提供广阔的发展空间。"
